StartNumber;ParticipantCountry;ActorName;SongTitle;Composers
1;Israel;IMRI;I Feel Alive;Dolev Ram,Penn Hazut
2;Poland;Kasia Mo;Flashlight;Kasia Mo,Rickard Bonde Truumeel,Pete Barringer (DWB)
3;Belarus;Naviband;Story of My Life;Artem Lukyanenka
4;Austria;Nathan Trent;Running On Air;Nathan Trent,Bernhard Penzias
5;Armenia;Artsvik;Fly With Me;Avet Barseghyan,David Tserunyan
6;Netherlands;OG3NE;Lights and Shadows;Rick Vol
7;Moldova;Sunstroke Project;Hey Mamma;Alina Galetcaia
8;Hungary;Joci Pápai;Origo;József Pápai
9;Italy;Francesco Gabbani;Occidentali's Karma;Francesco Gabbani,Fabio Ilacqua,Luca Chiaravalli
10;Denmark;Anja;Where I Am;Anja Nissen,Michael D'Arcy,Angel Tupai
11;Portugal;Salvador Sobral;Amar Pelos Dois;Luísa Sobral
12;Azerbaijan;Dihaj;Skeletons;Sandra Bjurman
13;Croatia;Jacques Houdek;My Friend;Jacques Houdek,Ines Prajo,Arjana Kunštek,Fabrizio Laucella
14;Australia;Isaiah;Don't Come Easy;DNA (David Musumeci & Anthony Egizii),Michael Angelo
15;Greece;Demy;This is Love;Romy Papadea,John Ballard
16;Spain;Manel Navarro;Do It For Your Lover;Manel Navarro,Antonio Rayo “Rayito”
17;Norway;JOWST;Grab The Moment;Jonas McDonnell
18;United Kingdom;Lucie Jones;Never Give Up On You;Emmelie de Forest,Daniel Salcedo,Lawrie Martin
19;Cyprus;Hovig;Gravity;Thomas G:son
20;Romania;Ilinca ft. Alex Florea;Yodel It!;Alexa Niculae
21;Germany;Levina;Perfect Life;Lindy Robbins,Dave Bassett,Lindsey Ray
22;Ukraine;O.Torvald;Time;Kamenchuk Yevhen
23;Belgium;Blanche;City Lights;Pierre Dumoulin,Ellie Delvaux
24;Sweden;Robin Bengtsson;I Can't Go On;David Kreuger,Hamed K-One Pirouzpanah,Robin Stjernberg
25;Bulgaria;Kristian Kostov;Beautiful Mess;Borislav Milanov,Sebastian Arman,Joacim Persson,Alexander V. Blay,Alex Omar
26;France;Alma;Requiem;Nazim Khaled,Alexandra Maquet
